queueOrder,page,oldPath,clicks,impressions,priorityScore,legacyType,suggestedTargetPath,proposedTargetPath,decisionType,reasonCode,confidence,curationStatus,reviewerNotes
154,https://www.kotacom.id/service/data-security,/service/data-security,0,14,10.9,other_nested,,/services/data-security,redirect,service_namespace_merge,low,pending_review,
155,https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-jember/page/2,/product-tag/jual-pc-rakitan-murah-jember/page/2,0,14,10.16,other_nested,,/products/category/jual-pc-rakitan-murah-jember,redirect,product_tag_to_products_category,medium,pending_review,
156,https://www.kotacom.id/product-tag/jual-komputer-rakitan-murah-batu-malang/page/2,/product-tag/jual-komputer-rakitan-murah-batu-malang/page/2,1,13,18.22,other_nested,,/products/category/jual-komputer-rakitan-murah-batu-malang,redirect,product_tag_to_products_category,medium,pending_review,
157,https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-probolinggo,/product-tag/jual-pc-rakitan-murah-probolinggo,0,13,17.58,other_nested,,/products/category/jual-pc-rakitan-murah-probolinggo,redirect,product_tag_to_products_category,medium,pending_review,
158,https://www.kotacom.id/projects,/projects,0,13,16.35,project_index,/services,,manual_review,manual_intent_review_required,low,pending_review,
159,https://www.kotacom.id/projects/fashion-retail-pos-system,/projects/fashion-retail-pos-system,0,13,9.65,project_detail,/services,/projects/fashion-retail-pos-system,keep_or_redirect,projects_direct,medium,pending_review,
160,https://www.kotacom.id/blog/web-design-responsive-surabaya,/blog/web-design-responsive-surabaya,0,13,6.58,other_nested,,/blog/web-design-responsive-surabaya,keep_or_redirect,blog_slug_normalization,medium,pending_review,
161,https://www.kotacom.id/posts/jasa-it-support-surabaya-terpercaya,/posts/jasa-it-support-surabaya-terpercaya,0,13,6.58,other_nested,,/blog/jasa-it-support-surabaya-terpercaya,redirect,legacy_posts_to_blog,high,pending_review,
162,https://www.kotacom.id/shop/page/6,/shop/page/6,0,13,6.58,other_nested,,/blog,redirect,pagination_to_canonical_listing,low,pending_review,
163,https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-lamongan,/product-tag/jual-pc-rakitan-murah-lamongan,3,12,20.12,other_nested,,/products/category/jual-pc-rakitan-murah-lamongan,redirect,product_tag_to_products_category,medium,pending_review,
164,https://www.kotacom.id/tag/service-macbook-murah-situbondo,/tag/service-macbook-murah-situbondo,2,12,11.11,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,
165,https://www.kotacom.id/product/pc-core-g620-fullset-ram-4gb-hdd-500gb-led-24-in-lg-hdmi,/product/pc-core-g620-fullset-ram-4gb-hdd-500gb-led-24-in-lg-hdmi,1,12,8.28,other_nested,,/products/pc-core-g620-fullset-ram-4gb-hdd-500gb-led-24-in-lg-hdmi,redirect,product_singular_to_plural,medium,pending_review,
166,https://www.kotacom.id/product-category/rakit-pc/page/5,/product-category/rakit-pc/page/5,0,12,15.72,other_nested,,/blog,redirect,pagination_to_canonical_listing,low,pending_review,
167,https://www.kotacom.id/product-category/karaoke/player-karaoke,/product-category/karaoke/player-karaoke,0,12,8.72,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,
168,https://www.kotacom.id/posts/backup-recovery-sistem-surabaya,/posts/backup-recovery-sistem-surabaya,0,12,6.46,other_nested,,/blog/backup-recovery-sistem-surabaya,redirect,legacy_posts_to_blog,high,pending_review,
169,https://www.kotacom.id/posts/software-development-surabaya-terbaik,/posts/software-development-surabaya-terbaik,0,12,6.46,other_nested,,/blog/software-development-surabaya-terbaik,redirect,legacy_posts_to_blog,high,pending_review,
170,https://www.kotacom.id/product-category/rakit-pc/rakit-pc-graphic/page/2,/product-category/rakit-pc/rakit-pc-graphic/page/2,0,12,6.46,other_nested,,/blog,redirect,pagination_to_canonical_listing,low,pending_review,
171,https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-sumenep,/product-tag/jual-pc-rakitan-murah-sumenep,2,11,17.17,other_nested,,/products/category/jual-pc-rakitan-murah-sumenep,redirect,product_tag_to_products_category,medium,pending_review,
172,https://www.kotacom.id/tag/jasa-recovery-data-laptop-murah-mojokerto,/tag/jasa-recovery-data-laptop-murah-mojokerto,1,11,16.47,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,
173,https://www.kotacom.id/product-tag/jual-komputer-rakitan-murah-bojonegoro/page/2,/product-tag/jual-komputer-rakitan-murah-bojonegoro/page/2,1,11,14.36,other_nested,,/products/category/jual-komputer-rakitan-murah-bojonegoro,redirect,product_tag_to_products_category,medium,pending_review,
174,https://www.kotacom.id/product-category/rakit-pc,/product-category/rakit-pc,0,11,15.5,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,
175,https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-ponorogo/page/2,/product-tag/jual-pc-rakitan-murah-ponorogo/page/2,0,11,15.06,other_nested,,/products/category/jual-pc-rakitan-murah-ponorogo,redirect,product_tag_to_products_category,medium,pending_review,
176,https://www.kotacom.id/product/pc-karaoke-2tb-monitor-touchscreen-audiobank-kjb-nakamichi-geisler,/product/pc-karaoke-2tb-monitor-touchscreen-audiobank-kjb-nakamichi-geisler,0,11,14.12,other_nested,,/products/pc-karaoke-2tb-monitor-touchscreen-audiobank-kjb-nakamichi-geisler,redirect,product_singular_to_plural,medium,pending_review,
177,https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-ponorogo,/product-tag/jual-pc-rakitan-murah-ponorogo,0,11,11.86,other_nested,,/products/category/jual-pc-rakitan-murah-ponorogo,redirect,product_tag_to_products_category,medium,pending_review,
